id,UF,População 2016,Municípios,Receita Total,Receitas Correntes,Impostos Patrimônio e Renda,IPTU,IRRF,ITBI,ISS,Receita Agropecuária,Transferências Correntes,Transferências Intergovernamentais,Transferências da União,Participação na Receita da União,FPM,ITR,IOF- Ouro,SUS Fundo a Fundo - União,FNAS,FNDE,ICMS - Desoneração Lei Kandir,Transferências dos Estados,Participação na Receita dos Estados,ICMS,IPVA,IPI - Exportação,CIDE,Outras Participações na Receita dos Estados,Transferências dos Municípios,Transferências de Convênios
2600054,PE,98990,Abreu e Lima,136656457.53,150100994.17,4039568.74,720817.24,2913043.31,405708.19,4958508.71,0,133543185.62,133532935.62,70308673.04,44611378.35,44606616.88,4761.47,0,20004314.46,1465192.22,1938790.59,84212.56,43108188.87,42972168.49,38879963.58,3766176.22,64496.67,112123.09,149408.93,0,0
2600104,PE,36866,Afogados da Ingazeira,78370904.47,74309771.67,1288038.09,375568.18,912469.91,0,0,0,64794190.67,64323137.97,36134671.53,23650801.83,23648363.11,2438.72,0,9489723.24,1047997.26,1741586.19,16401.96,9727703.82,9727703.82,7575483.86,2077511.35,17336.81,50281.99,7089.81,32500,471052.7
2600203,PE,19225,Afrânio,51566115.09,48902891.69,625890.48,23871.61,574366.06,27652.81,1069041.57,0,43467156.19,41821398.77,23980320.03,17852304.32,17842646.78,9657.54,0,3937052.3,579491.37,1462555.9,9103.2,5229183.25,5229183.25,4258999.01,317248.34,6284.02,32599.58,614052.3,0,1645757.42
2600302,PE,24454,Agrestina,62091527.44,58950772.31,967746.96,380664.07,346911.66,240171.23,736613.03,0,51577407.56,51435830.97,32543796.62,20821538.76,20816421.21,5117.55,0,9491276.66,709466.97,1349923.51,7660.6,4314772.68,4249752.81,3536928.96,667653.48,5901.17,39269.2,0,28800,141576.59
2600401,PE,36040,Água Preta,66984809.62,67970803.22,666199.98,1838.66,406318.04,258043.28,1115222.45,0,60501643.79,60256447.6,37658949.93,23810320.41,23790195.62,20124.79,0,10904517.11,865219.98,1840427.82,8555.44,4643141.85,4558824.38,3961479.84,418054.39,6608.92,49644.93,123036.3,0,245196.19
2600500,PE,42831,Águas Belas,78126232.02,75951593.04,1344422.58,111853.21,1154019.7,78549.67,652894.83,0,70493350.54,70493350.54,37510168.04,26768264.82,26763970.14,4294.68,0,7518555.34,939037.97,2064888.1,8769.96,5311537.66,4910738.44,4054962.41,791744.56,6718.12,57313.35,0,0,0
2600609,PE,14431,Alagoinha,36119286.95,36687354.18,405978.04,0,336578.76,40079.73,434788.7,0,33199660.22,33064706.54,20065516.06,14868426.13,14867238.27,1187.86,0,3845654.03,260230.69,966665.33,6965.32,3551214.21,3518576.43,3212724.98,274224.06,5359.76,26267.63,0,0,134953.68
2600708,PE,38261,Aliança,71200688.48,70891722.52,1468850.36,271201.51,1197648.85,0,0,0,63784700.36,63784700.36,38438111.3,26806811.28,26763970.14,42841.14,0,6577001.44,906337.94,2356643.05,10400.28,5494446.47,5494446.47,4764869.17,555970.57,50986.87,54769.86,67850,0,0
2600807,PE,22886,Altinho,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2600906,PE,22685,Amaraji,48013471.47,46528534.48,527367.44,13894.77,498099.41,15373.26,406947.59,0,42038895.41,42038895.41,24823244.16,17853803.66,17842646.78,11156.88,0,4935106.19,500011.95,1350853.06,8012.56,4144853.99,4072258.91,3700731.75,365043.33,6483.83,0,0,0,0
